id;gene;pval;adjPVal
213116_at;NEK3;0.221819413543059;0.336470068929304
209682_at;CBLB;0.580256273997783;0.693686343640372
207655_s_at;BLNK;4.45762439933121e-05;0.000213521916630034
205536_at;VAV2;0.0119504881101019;0.0300621004779669
222077_s_at;RACGAP1;0.000108985150793184;0.000476243395741485
213160_at;DOCK2;0.733496168493563;0.815412270113048
202933_s_at;YES1;0.101347332999403;0.180259547184313
208982_at;PECAM1;0.317273749384755;0.443835337899543
209555_s_at;CD36;0.159131614465751;0.257902961375528
205455_at;MST1R;7.68144601714079e-15;1.1298051541917e-12
214053_at;ERBB4;0.525431351527385;0.645469466129053
211432_s_at;TYRO3;1.16114589902575e-05;6.41761539770997e-05
204943_at;ADAM12;0.068286787063406;0.130855746593282
207673_at;NPHS1;0.0540866110297899;0.107742321716768
209925_at;OCLN;0.0437320795786324;0.0903334343154115
203593_at;CD2AP;0.129224243373647;0.218437194518299
219516_at;TRPV4;0.929235402724126;0.953253549262084
220336_s_at;GP6;0.115088014331511;0.19944973040928
203120_at;TP53BP2;0.391785095843117;0.521129616792281
213135_at;TIAM1;2.50609224429427e-13;1.95819782738543e-11
214732_at;SP1;0.00938854665616158;0.0244666466035724
212420_at;ELF1;0.445165244708689;0.573049412000415
205004_at;NKRF;0.516064658593706;0.637320557071102
203135_at;TBP;0.477704507820422;0.603015120837128
210477_x_at;MAPK8;0.146343056818772;0.241401358536521
217067_s_at;DMP1;0.357262223753488;0.48612236845517
208932_at;PPP4C;0.00112035936617267;0.00382175519669598
206550_s_at;NUP155;0.671682601280507;0.768286905874556
201328_at;ETS2;6.27517687677119e-12;2.76240356737301e-10
204790_at;SMAD7;0.255280028715929;0.3754718728243
208066_s_at;GTF2B;8.84526148362979e-07;6.58379872740836e-06
206036_s_at;REL;1.23087813738482e-07;1.1441218195974e-06
205051_s_at;KIT;1.32369574431168e-08;1.65323118835011e-07
202626_s_at;LYN;0.894490551031317;0.930127328370084
212240_s_at;PIK3R1;0.412501909174484;0.542338717898769
212610_at;PTPN11;0.536147086421875;0.654964908583768
220440_at;LGALS13;0.924801391904371;0.950576913720993
206687_s_at;PTPN6;0.299595981893032;0.425678936882224
213093_at;PRKCA;0.0313906297432825;0.0684538030787577
207029_at;KITLG;0.375844889153934;0.5049061365265
213324_at;SRC;3.43381192513113e-07;2.8448983888661e-06
206267_s_at;MATK;0.276972252100283;0.400312959047138
211600_at;PTPRO;0.0324294057153098;0.0704120233158741
209409_at;GRB10;3.32624895843115e-11;1.11066891245053e-09
212180_at;CRKL;0.175151334051622;0.278309859978824
216835_s_at;DOK1;0.220665928323522;0.334992295927843
206620_at;GRAP;0.558527942271035;0.674305211552354
208406_s_at;GRAP2;0.984490255844835;0.989715115678041
203320_at;SH2B3;0.00076281397394065;0.00271468838662283
200675_at;CD81;2.68827074137462e-05;0.000135683329869461
205079_s_at;MPDZ;0.0708294225590116;0.134862845085709
204891_s_at;LCK;0.446231985873929;0.573707496075733
220059_at;STAP1;0.694322852937001;0.786383453978671
205367_at;SH2B2;0.391176299540178;0.520707633821476
212458_at;SPRED2;0.0607874118606987;0.118893026139308
208438_s_at;FGR;0.731906494493154;0.814809032263883
38964_r_at;WAS;0.828096914473834;0.883153840814194
216379_x_at;CD24;2.74454556065595e-05;0.000138300316805001
208820_at;PTK2;1.56343596221591e-13;1.27752133330871e-11
208304_at;CCR3;0.901332336414912;0.93436624128186
206181_at;SLAMF1;0.215898570673661;0.32928680377725
203332_s_at;INPP5D;0.099097175868105;0.1770381384257
202360_at;MAML1;0.0495674223417832;0.100160322307576
218751_s_at;FBXW7;1.6192563181003e-10;3.96163258099608e-09
206598_at;INS;0.836093124226073;0.889754531756415
218902_at;NOTCH1;0.513472891565329;0.635456692568901
203186_s_at;S100A4;0.0349767700579793;0.0749408019305668
211105_s_at;NFATC1;7.23197606200402e-14;6.69734553534624e-12
201622_at;SND1;6.26723536969216e-08;6.41711519999111e-07
200037_s_at;CBX3;0.00345555720255731;0.0102811461557286
201518_at;CBX1;0.177807238977913;0.281885125754738
221245_s_at;FZD5;0.824959388887476;0.881195538327191
206727_at;C9;0.569594719326374;0.684192273349186
205578_at;ROR2;0.79393119389158;0.860241622575764
204451_at;FZD1;0.240904331017039;0.358844983483263
202123_s_at;ABL1;0.0997010695323692;0.177939010891318
218807_at;VAV3;1.28236860288253e-08;1.61127359530024e-07
200009_at;GDI2;2.99964303744914e-11;1.01082310658192e-09
202074_s_at;OPTN;1.15528170040709e-09;2.0574546749985e-08
204936_at;MAP4K2;0.218707101782585;0.332556091764276
221614_s_at;RPH3AL;0.00094737784974577;0.00329277672435964
206305_s_at;C8A;0.0442550282216384;0.0911643372593383
206137_at;RIMS2;0.352234626145985;0.481166662595838
205230_at;RPH3A;0.203198211086457;0.313898929321993
222033_s_at;FLT1;2.16499441544945e-05;0.00011168053276841
203934_at;KDR;0.110892135144325;0.193465458215791
212171_x_at;VEGFA;0.0143018813092134;0.03515574520798
204613_at;PLCG2;0.000642168363178411;0.0023230291887895
214853_s_at;SHC1;5.90819790910213e-09;8.31284099935169e-08
215179_x_at;PGF;0.00590325978440172;0.0163460805813046
203683_s_at;VEGFB;0.28882032478085;0.413280496784959
201180_s_at;GNAI3;3.52650221663324e-06;2.22668336931055e-05
209903_s_at;ATR;0.256716190539442;0.377106144534493
213541_s_at;ERG;0.0026466286074714;0.0081476465474723
205312_at;SPI1;0.518119794497667;0.639050292001327
211825_s_at;FLI1;0.000429326452980966;0.00163094479342693
221911_at;ETV1;0.438618349402396;0.566861169656469
